Epoch,   Training Error,    Testing Error
1,6.1966,5.5770
2,5.6834,5.1150
3,5.6647,5.0982
4,5.6567,5.0910
5,5.6556,5.0900
6,5.6543,5.0889
7,5.6565,5.0909
8,5.6584,5.0925
9,5.6562,5.0906
10,5.6565,5.0908
11,5.6582,5.0924
12,5.6559,5.0903
13,5.6497,5.0847
14,5.6457,5.0812
15,5.6440,5.0796
16,5.6436,5.0792
17,5.6434,5.0790
18,5.6426,5.0784
19,5.6423,5.0780
20,5.6421,5.0779
21,5.6417,5.0775
22,5.6412,5.0771
23,5.6410,5.0769
24,5.6407,5.0767
25,5.6405,5.0765
26,5.6403,5.0763
27,5.6402,5.0761
28,5.6397,5.0757
29,5.6395,5.0756
30,5.6394,5.0755
31,5.6393,5.0754
32,5.6392,5.0753
33,5.6390,5.0751
34,5.6388,5.0749
35,5.6386,5.0747
36,5.6382,5.0744
37,5.6381,5.0743
38,5.6379,5.0741
39,5.6377,5.0740
40,5.6377,5.0739
41,5.6375,5.0737
42,5.6373,5.0735
43,5.6371,5.0734
44,5.6369,5.0732
45,5.6367,5.0730
46,5.6364,5.0727
47,5.6361,5.0725
48,5.6358,5.0723
49,5.6356,5.0720
50,5.6353,5.0718
51,5.6352,5.0717
52,5.6350,5.0715
53,5.6349,5.0714
54,5.6347,5.0713
55,5.6345,5.0711
56,5.6344,5.0710
57,5.6343,5.0709
58,5.6342,5.0708
59,5.6341,5.0707
60,5.6340,5.0706
61,5.6339,5.0705
62,5.6338,5.0704
63,5.6337,5.0703
64,5.6336,5.0703
65,5.6336,5.0702
66,5.6335,5.0702
67,5.6334,5.0701
68,5.6333,5.0700
69,5.6333,5.0699
70,5.6332,5.0699
71,5.6331,5.0698
72,5.6330,5.0697
73,5.6330,5.0697
74,5.6329,5.0696
75,5.6329,5.0696
76,5.6328,5.0695
77,5.6328,5.0695
78,5.6327,5.0695
79,5.6327,5.0694
80,5.6326,5.0694
81,5.6326,5.0693
82,5.6325,5.0693
83,5.6325,5.0693
84,5.6325,5.0692
85,5.6325,5.0692
86,5.6324,5.0692
87,5.6324,5.0692
88,5.6324,5.0691
89,5.6323,5.0691
90,5.6323,5.0691
91,5.6323,5.0691
92,5.6323,5.0690
93,5.6322,5.0690
94,5.6322,5.0690
95,5.6322,5.0690
96,5.6322,5.0689
97,5.6321,5.0689
98,5.6321,5.0689
99,5.6321,5.0689
100,5.6321,5.0689
101,5.6321,5.0688
102,5.6320,5.0688
103,5.6320,5.0688
104,5.6320,5.0688
105,5.6320,5.0688
106,5.6320,5.0688
107,5.6320,5.0688
108,5.6320,5.0688
109,5.6320,5.0688
110,5.6319,5.0687
111,5.6319,5.0687
112,5.6319,5.0687
113,5.6319,5.0687
114,5.6319,5.0687
115,5.6319,5.0687
116,5.6319,5.0687
117,5.6319,5.0687
118,5.6319,5.0687
119,5.6319,5.0687
120,5.6319,5.0687
121,5.6319,5.0687
122,5.6318,5.0687
123,5.6318,5.0687
124,5.6318,5.0687
125,5.6318,5.0686
126,5.6318,5.0686
127,5.6318,5.0686
128,5.6318,5.0686
129,5.6318,5.0686
130,5.6318,5.0686
131,5.6318,5.0686
132,5.6318,5.0686
133,5.6318,5.0686
134,5.6318,5.0686
135,5.6318,5.0686
136,5.6318,5.0686
137,5.6318,5.0686
138,5.6318,5.0686
139,5.6318,5.0686
140,5.6318,5.0686
141,5.6318,5.0686
142,5.6318,5.0686
143,5.6318,5.0686
144,5.6318,5.0686
145,5.6318,5.0686
146,5.6318,5.0686
147,5.6318,5.0686
148,5.6318,5.0686
149,5.6318,5.0686
150,5.6318,5.0686
